Title	WebSite	Address	Phone	Email
Kababe Grill	http://kababe.net/	18677 Devonshire St, Northridge, CA 91324, United States	+1 818-363-6555	No
Halal House	http://halalhousela.com/	9514 Reseda Blvd #11, Northridge, CA 91324, United States	+1 818-527-1440	No
Señor Sol	http://senorsolrestaurante.com/	3137, 9233 Reseda Blvd, Northridge, CA 91324, United States	+1 818-341-3024	No
Wood Ranch	https://www.woodranch.com/restaurants/northridge	9301 Tampa Ave, Northridge, CA 91324, United States	+1 818-886-6464	No
Yard House	https://www.yardhouse.com/locations/ca/northridge/northridge-fashion-center/8342?cmpid=br:yh_ag:ie_ch:loc_ca:YHGMB_dt:20190131_sn:gmb_gt:northridge-ca-8342_pl:locurl_rd:1041	9301 Tampa Ave Suite 216, Northridge, CA 91324, United States	+1 818-721-0085	No
Kickin KAsian	http://www.kickinkasian.com/	9545 Reseda Blvd #20, Northridge, CA 91324, United States	+1 818-280-5563	No
Lum-Ka-Naad	http://lumkanaadthai.com/	8910 Reseda Blvd, Northridge, CA 91324, United States	+1 818-882-3028	No
Thai Bamboo	https://thaibambootogo.com/	9084 Tampa Ave, Northridge, CA 91324, United States	+1 818-734-6610	mail@burak-aydin.com
Chutamas Thai Cuisine	http://www.chutamasthainorthridge.com/	8333 Tampa Ave, Los Angeles, CA 91324, United States	+1 818-678-9326	No
Pita Pockets	http://pitapockets.juisyfood.com/	9127 Reseda Blvd, Northridge, CA 91324, United States	+1 818-709-4444	No
Waffle Love - Northridge	http://waffluv.com/	9411 Reseda Blvd, Northridge, CA 91324, United States	+1 818-671-5344	waffluv@gmail.com
Falafel Palace	http://www.facebook.com/falafelpalace/	9255 Reseda Blvd, Northridge, CA 91324, United States	+1 818-993-0734	No
Emle's	http://www.emlesnorthridge.com/	9250 Reseda Blvd Suite 1, Northridge, CA 91324, United States	+1 818-772-2203	smmak419@gmail.com
Sushi KATSU-YA Northridge	http://www.katsu-yagroup.com/northridge/	9701 Reseda Blvd, Northridge, CA 91324, United States	+1 818-678-1700	No
Fresh Potato Factory	http://www.freshpotatofactory.com/	9420 Reseda Blvd #6, Northridge, CA 91324, United States	+1 818-886-8156	No
Lilian's Bread and Sweets	https://www.liliansbreadandsweets.com/	8870 Tampa Ave, Northridge, CA 91324, United States	+1 818-927-1917	No
Chi-Chi's Pizza	http://chichispizza.com/	9080 Tampa Ave, Northridge, CA 91324, United States	+1 818-993-9911	No
"The Stand ""American Classics Redefined"""	https://www.thestand.com/	19600 Plummer St #700, Northridge, CA 91324, United States	+1 818-709-3820	No
In-N-Out Burger	http://locations.in-n-out.com/208	8830 Tampa Ave, Northridge, CA 91324, United States	+1 800-786-1000	No
Buenos Aires Grill	http://www.buenosairesgrill.la/	8856 Corbin Ave, Northridge, CA 91324, United States	+1 818-772-5552	filler@godaddy.com
Claim Jumper Restaurants	https://www.claimjumper.com/locations.aspx	9429 Tampa Ave, Northridge, CA 91324, United States	+1 818-718-2882	you@email.com
Maria's Italian Kitchen	http://www.mariasitaliankitchen.com/	9161 Reseda Blvd #3031, Northridge, CA 91324, United States	+1 818-341-5114	No
A & H Shawarma and Kabob	http://shawarmakabob.com/	8450 Reseda Blvd, Northridge, CA 91324, United States	+1 818-818-6452	info@shawarmakabob.com
Tomo Sushi	https://www.mytomosushi.com/	18707 Devonshire St, Northridge, CA 91324, United States	+1 818-368-2720	No
Chi's Chinese Cuisine	http://chischinese.net/	9635 Reseda Blvd, Northridge, CA 91324, United States	+1 818-886-6928	chis_chinese@verizon.net
Agua Chiles Sushi Bar	https://www.aguachilessushi.com/	9129 Reseda Blvd, Northridge, CA 91324, United States	+1 818-812-9613	No
Shamshiri Restaurant	http://www.shamshirinorthridge.net/	19249 Roscoe Blvd, Northridge, CA 91324, United States	+1 818-885-7846	shamshirinorthridge@yahoo.com
L A Lasagna Co	http://lalasagnacompany.com/	8510 Reseda Blvd, Northridge, CA 91324, United States	+1 818-885-8916	No
Mambo International Kitchen	http://mamboresto.com/	8300 Tampa Ave suite a, Northridge, CA 91324, United States	+1 747-777-3511	mambomambo.info@gmail.com
Chick-fil-A	https://www.chick-fil-a.com/northridge	8875 Tampa Ave, Northridge, CA 91324, United States	+1 818-882-3106	No
Joyce's Coffee Shop & Restaurant	http://joycescoffeeshop.com/	8826 Reseda Blvd, Northridge, CA 91324, United States	+1 818-885-8818	No
Mandarin Deli Restaurant	https://www.facebook.com/Mandarin-Deli-Restaurant-114284998596330/	9305 Reseda Blvd, Northridge, CA 91324, United States	+1 818-993-0122	No
Hook'd Fish Grill	http://www.hookdfishgrill.com/	10176 Reseda Blvd #1487, Northridge, CA 91324, United States	+1 818-960-2006	info@hookdfishgrill.com
Hot Wok Cafe	https://hotwokcafeca.com/	9135 Reseda Blvd, Los Angeles, CA 91324, United States	+1 818-886-1168	No
Yanagi Sushi	http://www.myyanagisushi.com/	8966 Corbin Ave, Northridge, CA 91324, United States	+1 818-701-1651	No
Brent's Deli Northridge	http://brentsdeli.com/	19565 Parthenia St, Northridge, CA 91324, United States	+1 818-886-5679	No
Mariscos La Serenata VIP	https://www.facebook.com/pg/Mariscos-La-Serenata-VIP-1436736879891561/about/	19265 Roscoe Blvd, Northridge, CA 91324, United States	+1 818-993-1404	No
Chili's Grill & Bar	https://www.chilis.com/locations/us/ca/northridge/northridge/?utm_source=gpo&utm_medium=local&utm_campaign=gmb	9200 Reseda Blvd, Northridge, CA 91324, United States	+1 818-886-2191	No
Dog Haus Biergarten Northridge	http://northridge.doghaus.com/	8931 Reseda Blvd, Northridge, CA 91324, United States	+1 747-202-3349	No
King's Burgers and Got Sushi	https://www.kingsgotsushi.com/	9345 Reseda Blvd, Northridge, CA 91324, United States	+1 818-885-6456	8b4e078a51d04e0e9efdf470027f0ec1@sentry.wixpress.com
Szechuan Place	https://szechuanplace.us/	9250 Reseda Blvd, Northridge, CA 91324, United States	+1 818-280-5355	No
Small Island	http://www.smallislandfood.com/	9545 Reseda Blvd #16, Northridge, CA 91324, United States	+1 818-341-1884	No
A & W Seafood Restaurant	https://aandwseafoodnorthridge.com/	9306 Reseda Blvd, Northridge, CA 91324, United States	+1 818-882-6668	mail@burak-aydin.com
Chipotle Mexican Grill	https://locations.chipotle.com/ca/northridge/19332-nordhoff-st?utm_source=google&utm_medium=yext&utm_campaign=yext_listings	19332 Nordhoff St, Northridge, CA 91324, United States	+1 818-671-2232	ca.1746.NordhoffPlaza@chipotle.com
Rubio's	https://www.rubios.com/store-locations/california/northridge/northridge?utm_source=gmb&utm_medium=websitelink	19500 Plummer St Suite B-3, Northridge, CA 91324, United States	+1 818-998-6704	No
Gen Korean BBQ House	http://genkoreanbbq.com/	10151 Reseda Blvd, Northridge, CA 91324, United States	+1 818-709-3932	octopusgroup@octopusrestaurant.com
