Title	WebSite	Address	Phone
Kababe Grill	http://kababe.net/	18677 Devonshire St, Northridge, CA 91324, United States	+1 818-363-6555
Halal House	http://halalhousela.com/	9514 Reseda Blvd #11, Northridge, CA 91324, United States	+1 818-527-1440
Señor Sol	http://senorsolrestaurante.com/	3137, 9233 Reseda Blvd, Northridge, CA 91324, United States	+1 818-341-3024
Wood Ranch	https://www.woodranch.com/restaurants/northridge	9301 Tampa Ave, Northridge, CA 91324, United States	+1 818-886-6464
Yard House	https://www.yardhouse.com/locations/ca/northridge/northridge-fashion-center/8342?cmpid=br:yh_ag:ie_ch:loc_ca:YHGMB_dt:20190131_sn:gmb_gt:northridge-ca-8342_pl:locurl_rd:1041	9301 Tampa Ave Suite 216, Northridge, CA 91324, United States	+1 818-721-0085
Kickin KAsian	http://www.kickinkasian.com/	9545 Reseda Blvd #20, Northridge, CA 91324, United States	+1 818-280-5563
Lum-Ka-Naad	http://lumkanaadthai.com/	8910 Reseda Blvd, Northridge, CA 91324, United States	+1 818-882-3028
Thai Bamboo	https://thaibambootogo.com/	9084 Tampa Ave, Northridge, CA 91324, United States	+1 818-734-6610
Chutamas Thai Cuisine	http://www.chutamasthainorthridge.com/	8333 Tampa Ave, Los Angeles, CA 91324, United States	+1 818-678-9326
Pita Pockets	http://pitapockets.juisyfood.com/	9127 Reseda Blvd, Northridge, CA 91324, United States	+1 818-709-4444
Waffle Love - Northridge	http://waffluv.com/	9411 Reseda Blvd, Northridge, CA 91324, United States	+1 818-671-5344
Falafel Palace	http://www.facebook.com/falafelpalace/	9255 Reseda Blvd, Northridge, CA 91324, United States	+1 818-993-0734
Emle's	http://www.emlesnorthridge.com/	9250 Reseda Blvd Suite 1, Northridge, CA 91324, United States	+1 818-772-2203
Sushi KATSU-YA Northridge	http://www.katsu-yagroup.com/northridge/	9701 Reseda Blvd, Northridge, CA 91324, United States	+1 818-678-1700
Fresh Potato Factory	http://www.freshpotatofactory.com/	9420 Reseda Blvd #6, Northridge, CA 91324, United States	+1 818-886-8156
Lilian's Bread and Sweets	https://www.liliansbreadandsweets.com/	8870 Tampa Ave, Northridge, CA 91324, United States	+1 818-927-1917
Chi-Chi's Pizza	http://chichispizza.com/	9080 Tampa Ave, Northridge, CA 91324, United States	+1 818-993-9911
"The Stand ""American Classics Redefined"""	https://www.thestand.com/	19600 Plummer St #700, Northridge, CA 91324, United States	+1 818-709-3820
In-N-Out Burger	http://locations.in-n-out.com/208	8830 Tampa Ave, Northridge, CA 91324, United States	+1 800-786-1000
Buenos Aires Grill	http://www.buenosairesgrill.la/	8856 Corbin Ave, Northridge, CA 91324, United States	+1 818-772-5552
Claim Jumper Restaurants	https://www.claimjumper.com/locations.aspx	9429 Tampa Ave, Northridge, CA 91324, United States	+1 818-718-2882
Maria's Italian Kitchen	http://www.mariasitaliankitchen.com/	9161 Reseda Blvd #3031, Northridge, CA 91324, United States	+1 818-341-5114
A & H Shawarma and Kabob	http://shawarmakabob.com/	8450 Reseda Blvd, Northridge, CA 91324, United States	+1 818-818-6452
Tomo Sushi	https://www.mytomosushi.com/	18707 Devonshire St, Northridge, CA 91324, United States	+1 818-368-2720
Chi's Chinese Cuisine	http://chischinese.net/	9635 Reseda Blvd, Northridge, CA 91324, United States	+1 818-886-6928
Agua Chiles Sushi Bar	https://www.aguachilessushi.com/	9129 Reseda Blvd, Northridge, CA 91324, United States	+1 818-812-9613
Shamshiri Restaurant	http://www.shamshirinorthridge.net/	19249 Roscoe Blvd, Northridge, CA 91324, United States	+1 818-885-7846
L A Lasagna Co	http://lalasagnacompany.com/	8510 Reseda Blvd, Northridge, CA 91324, United States	+1 818-885-8916
Mambo International Kitchen	http://mamboresto.com/	8300 Tampa Ave suite a, Northridge, CA 91324, United States	+1 747-777-3511
Chick-fil-A	https://www.chick-fil-a.com/northridge	8875 Tampa Ave, Northridge, CA 91324, United States	+1 818-882-3106
Joyce's Coffee Shop & Restaurant	http://joycescoffeeshop.com/	8826 Reseda Blvd, Northridge, CA 91324, United States	+1 818-885-8818
Mandarin Deli Restaurant	https://www.facebook.com/Mandarin-Deli-Restaurant-114284998596330/	9305 Reseda Blvd, Northridge, CA 91324, United States	+1 818-993-0122
Hook'd Fish Grill	http://www.hookdfishgrill.com/	10176 Reseda Blvd #1487, Northridge, CA 91324, United States	+1 818-960-2006
Hot Wok Cafe	https://hotwokcafeca.com/	9135 Reseda Blvd, Los Angeles, CA 91324, United States	+1 818-886-1168
Yanagi Sushi	http://www.myyanagisushi.com/	8966 Corbin Ave, Northridge, CA 91324, United States	+1 818-701-1651
Brent's Deli Northridge	http://brentsdeli.com/	19565 Parthenia St, Northridge, CA 91324, United States	+1 818-886-5679
Mariscos La Serenata VIP	https://www.facebook.com/pg/Mariscos-La-Serenata-VIP-1436736879891561/about/	19265 Roscoe Blvd, Northridge, CA 91324, United States	+1 818-993-1404
Chili's Grill & Bar	https://www.chilis.com/locations/us/ca/northridge/northridge/?utm_source=gpo&utm_medium=local&utm_campaign=gmb	9200 Reseda Blvd, Northridge, CA 91324, United States	+1 818-886-2191
Dog Haus Biergarten Northridge	http://northridge.doghaus.com/	8931 Reseda Blvd, Northridge, CA 91324, United States	+1 747-202-3349
King's Burgers and Got Sushi	https://www.kingsgotsushi.com/	9345 Reseda Blvd, Northridge, CA 91324, United States	+1 818-885-6456
