Title	WebSite	Address	Phone	Email
Mobile Plus@Southport	http://www.goldcoastphonerepairs.com.au/	Australia Fair Shopping Centre, Shop G/116, 42 Marine Parade, Southport QLD 4215, Australia	+61 7 5527 0873	No
Fix My Mobile - Brisbane CBD	https://www.fixmymobile.com.au/	1B/144 Adelaide St, Brisbane City QLD 4000, Australia	+61 1300 349 349	No
Aussie Mobile Phone Repairs Capalaba Central	http://aussiemobilephonerepairs.com.au/	Capalaba Central Shopping Centre Kiosk, 21 Moreton Bay Rd, Capalaba QLD 4157, Australia	+61 7 3245 4662	No
Aussie Mobile Phone Repairs Mount Gravatt	http://aussiemobilephonerepairs.com.au/	1484 Logan Rd, Mount Gravatt QLD 4122, Australia	+61 7 3849 7035	No
ZCASE Australia	http://zcase.com.au/	kiosk a/50 Dorset Square, Boronia VIC 3155, Australia	+61 3 9762 6097	No
Mobile Magicians Australia	http://www.mobilemagiciansaustralia.com/	Shop/178 Main St, Lithgow NSW 2790, Australia	+61 498 226 544	No
PHONE SCREENS iPhone, Samsung, iPad, Oppo, & Huawei Phone Repairs	http://www.phonescreens.com.au/	2482 Gold Coast Hwy, Mermaid Beach QLD 4218, Australia	+61 7 5575 2490	No
Fix A Phone	https://www.fixaphone.com.au/	246 Carlisle St, Balaclava VIC 3183, Australia	+61 3 8373 4748	No
Vfix Mobile Australia	https://vfix-mobile-australia.business.site/	Galway Ave, North Plympton SA 5037, Australia	+61 460 504 188	No
ZCASE Australia	http://zcase.com.au/	Tok H Centre, Shop 27 459 Toorak Road, Toorak VIC 3142, Australia	+61 3 9826 6113	No
Phone Repair Centre	http://www.phonerepaircentre.com.au/	122 Queen St, St Marys NSW 2760, Australia	+61 2 8678 3298	No
i-Station Mobile Device Repair Center Morley	http://i-station.com.au/	Shop 7/131 Crimea St, Morley WA 6062, Australia	+61 8 6114 3680	northperthstore@i-station.com.au , morleystore@i-station.com.au , carouselstore@i-station.com.au
Platinum Phone Services - iPhone Repairs Gold Coast	http://www.platinumphoneservices.com.au/	Shop 1A/126 Scarborough St, Southport QLD 4215, Australia	+61 411 118 453	No
OnTheGo Phone & Computer Repairs Melbourne CBD Open As Usual	https://www.onthegorepairs.com.au/	190 Russell St, Melbourne VIC 3000, Australia	+61 3 9639 1111	No
iWorkshop London Court.iPhone Repair Perth ,Phone repairs Perth ,Mac-book Repairs Perth ,Laptop Repairs Perth.	http://www.iworkshop.com.au/	LONDON COURT, Shop 12/647 Hay St, Perth WA 6000, Australia	+61 8 6161 7203	No
Fix A Phone	https://www.fixaphone.com.au/	220 Glen Huntly Rd, Elsternwick VIC 3185, Australia	+61 3 9523 0666	No
Star Tech Phone Repairs	http://www.startechphonerepairs.com.au/	9 Treemartin Pl, East Cannington WA 6107, Australia	+61 420 994 662	No
MKC iPhone & iPad Repairs Melbourne	http://www.mkcrepairs.com.au/open-7-days/	447 Elizabeth St, Melbourne VIC 3000, Australia	+61 3 8399 1370	No
iPhone repairs Melbourne CBD	http://iphonerepairsmelbournecbd.com.au/	206/125 Swanston St, Melbourne VIC 3000, Australia	+61 451 086 866	No
Sydney Mobile Phone Repairs	http://www.sydneymobilephonerepairs.com.au/	480 King Georges Rd, Beverly Hills NSW 2209, Australia	+61 2 9099 4444	No
iSmashed - Darwin iPhone Repairs	http://www.ismashed.com.au/	27/69 Mitchell St, Darwin City NT 0800, Australia	+61 428 227 421	No
Phone Repair Doctor	http://www.phonerepairdoctor.com/	641 Ipswich Rd, Annerley QLD 4103, Australia	+61 439 323 931	No
