Title	WebSite	Address	Phone	Email
Australia GSM World	http://www.australiagsmworld.com.au/	JB HIFI, Craigieburn Central, Shop E00-34 (Near TARGET and, 340 Craigieburn Rd, Craigieburn VIC 3064, Australia	+61 3 9308 4750	tunjay@australiagsmworld.com.au , tunjay@australia-gsmworld.com
Mobile Plus@Southport	http://www.goldcoastphonerepairs.com.au/	Australia Fair Shopping Centre, Shop G/116, 42 Marine Parade, Southport QLD 4215, Australia	+61 7 5527 0873	No
Fix My Mobile - Brisbane CBD	https://www.fixmymobile.com.au/	1B/144 Adelaide St, Brisbane City QLD 4000, Australia	+61 1300 349 349	No
mySCREEN Southport	http://www.myscreen.com.au/	Kiosk 101 (Level 1) - Australia Fair Shopping Centre, 42 Marine Parade, Southport QLD 4215, Australia	+61 1300 992 991	webshop@myscreen.com.au
Aussie Mobile Phone Repairs Capalaba Central	http://aussiemobilephonerepairs.com.au/	Capalaba Central Shopping Centre Kiosk, 21 Moreton Bay Rd, Capalaba QLD 4157, Australia	+61 7 3245 4662	No
Fone Fix Sydney	https://fonefix.com.au/	107/250 Pitt St, Sydney NSW 2000, Australia	+61 2 9261 2340	pittstreet@fonefix.com.au , bondi@fonefix.com.au
Fone Fix Bondi Junction	https://fonefix.com.au/location/bondijunction/	14/80 Spring St, Bondi Junction NSW 2022, Australia	+61 2 9386 1951	pittstreet@fonefix.com.au , bondi@fonefix.com.au
Cheap Mobile Repair	https://www.cheapmobilerepair.com.au/	Shop 2/55 Burwood Rd, Burwood NSW 2134, Australia	+61 2 9747 8880	info@cheapmobilerepair.com.au , adelaide@cheapmobilerepair.com.au
Aussie Mobile Phone Repairs Mount Gravatt	http://aussiemobilephonerepairs.com.au/	1484 Logan Rd, Mount Gravatt QLD 4122, Australia	+61 7 3849 7035	No
ZCASE Australia	http://zcase.com.au/	kiosk a/50 Dorset Square, Boronia VIC 3155, Australia	+61 3 9762 6097	No
Mobile Magicians Australia	http://www.mobilemagiciansaustralia.com/	Shop/178 Main St, Lithgow NSW 2790, Australia	+61 498 226 544	No
Cheap Mobile Repair	https://www.cheapmobilerepair.com.au/	Station Arcade, Shop 5/52 - 54 Hindley St, Adelaide SA 5000, Australia	+61 8 7080 6100	info@cheapmobilerepair.com.au , adelaide@cheapmobilerepair.com.au
Life Mobile AUS	http://www.lifemobile.com.au/	Leederville, 120 Oxford St, Perth WA 6007, Australia	+61 8 6114 7121	info@lifemobile.com.au
