Title	WebSite	Address	Phone	Email
Australia GSM World	http://www.australiagsmworld.com.au/	JB HIFI, Craigieburn Central, Shop E00-34 (Near TARGET and, 340 Craigieburn Rd, Craigieburn VIC 3064, Australia	+61 3 9308 4750	tunjay@australia-gsmworld.com , tunjay@australiagsmworld.com.au
Mobile Plus@Southport	http://www.goldcoastphonerepairs.com.au/	Australia Fair Shopping Centre, Shop G/116, 42 Marine Parade, Southport QLD 4215, Australia	+61 7 5527 0873	No
Fone Fix Sydney	https://fonefix.com.au/	107/250 Pitt St, Sydney NSW 2000, Australia	+61 2 9261 2340	pittstreet@fonefix.com.au , bondi@fonefix.com.au
Fone Fix Bondi Junction	https://fonefix.com.au/location/bondijunction/	14/80 Spring St, Bondi Junction NSW 2022, Australia	+61 2 9386 1951	pittstreet@fonefix.com.au , bondi@fonefix.com.au
Aussie Mobile Phone Repairs Capalaba Central	http://aussiemobilephonerepairs.com.au/	Capalaba Central Shopping Centre Kiosk, 21 Moreton Bay Rd, Capalaba QLD 4157, Australia	+61 7 3245 4662	No
Fix My Mobile - Brisbane CBD	https://www.fixmymobile.com.au/	1B/144 Adelaide St, Brisbane City QLD 4000, Australia	+61 1300 349 349	No
Cheap Mobile Repair	https://www.cheapmobilerepair.com.au/	Shop 2/55 Burwood Rd, Burwood NSW 2134, Australia	+61 2 9747 8880	adelaide@cheapmobilerepair.com.au , info@cheapmobilerepair.com.au
Aussie Mobile Phone Repairs Mount Gravatt	http://aussiemobilephonerepairs.com.au/	1484 Logan Rd, Mount Gravatt QLD 4122, Australia	+61 7 3849 7035	No
Cheap Mobile Repair	https://www.cheapmobilerepair.com.au/	Station Arcade, Shop 5/52 - 54 Hindley St, Adelaide SA 5000, Australia	+61 8 7080 6100	adelaide@cheapmobilerepair.com.au , info@cheapmobilerepair.com.au
ZCASE Australia	http://zcase.com.au/	kiosk a/50 Dorset Square, Boronia VIC 3155, Australia	+61 3 9762 6097	No
Fix A Phone	https://www.fixaphone.com.au/	246 Carlisle St, Balaclava VIC 3183, Australia	+61 3 8373 4748	No
Sydney CBD Repair Centre	https://www.sydneycbd.repair/	Suite 201, Level 2/661 George St, Haymarket NSW 2000, Australia	+61 2 8011 4119	ask@SydneyCBDrepairCentre.com.au
REPAIR MATE | Melbourne CBD	http://www.repairmate.com.au/	307/365 Little Collins St, Melbourne VIC 3000, Australia	+61 3 9067 7551	hobart@repairmate.com.au , fairfield@repairmate.com.au , cranbourne@repairmate.com.au , carnegie@repairmate.com.au , melbourne@repairmate.com.au , rockdale@repairmate.com.au
Cheap Mobile Repair	https://www.cheapmobilerepair.com.au/	shop 1a/2 Enmore Rd, Newtown NSW 2042, Australia	+61 2 8970 0947	adelaide@cheapmobilerepair.com.au , info@cheapmobilerepair.com.au
FoneEZY	https://www.foneezy.com.au/?utm_source=google&utm_medium=organic&utm_campaign=GMB	B1/267 Murray St, Perth WA 6000, Australia	+61 1300 366 333	info@foneezy.com.au
Cityphones - Phone Repair & Accessories	http://www.cityphones.com.au/	148 Elizabeth St, Melbourne VIC 3000, Australia	+61 426 504 955	cityphonesinfo@gmail.com
Cityphones - Phone Repair & Accessories	http://www.cityphones.com.au/	148 Elizabeth St, Melbourne VIC 3000, Australia	+61 426 504 955	cityphonesinfo@gmail.com
FoneEZY	https://www.foneezy.com.au/?utm_source=google&utm_medium=organic&utm_campaign=GMB	B1/267 Murray St, Perth WA 6000, Australia	+61 1300 366 333	info@foneezy.com.au
