Title	WebSite	Address	Phone
Australia GSM World	http://www.australiagsmworld.com.au/	JB HIFI, Craigieburn Central, Shop E00-34 (Near TARGET and, 340 Craigieburn Rd, Craigieburn VIC 3064, Australia	+61 3 9308 4750
Mobile Plus@Southport	http://www.goldcoastphonerepairs.com.au/	Australia Fair Shopping Centre, Shop G/116, 42 Marine Parade, Southport QLD 4215, Australia	+61 7 5527 0873
Fix My Mobile - Brisbane CBD	https://www.fixmymobile.com.au/	1B/144 Adelaide St, Brisbane City QLD 4000, Australia	+61 1300 349 349
mySCREEN Southport	http://www.myscreen.com.au/	Kiosk 101 (Level 1) - Australia Fair Shopping Centre, 42 Marine Parade, Southport QLD 4215, Australia	+61 1300 992 991
Aussie Mobile Phone Repairs Capalaba Central	http://aussiemobilephonerepairs.com.au/	Capalaba Central Shopping Centre Kiosk, 21 Moreton Bay Rd, Capalaba QLD 4157, Australia	+61 7 3245 4662
Fone Fix Sydney	https://fonefix.com.au/	107/250 Pitt St, Sydney NSW 2000, Australia	+61 2 9261 2340
Fone Fix Bondi Junction	https://fonefix.com.au/location/bondijunction/	14/80 Spring St, Bondi Junction NSW 2022, Australia	+61 2 9386 1951
Cheap Mobile Repair	https://www.cheapmobilerepair.com.au/	Shop 2/55 Burwood Rd, Burwood NSW 2134, Australia	+61 2 9747 8880
Aussie Mobile Phone Repairs Mount Gravatt	http://aussiemobilephonerepairs.com.au/	1484 Logan Rd, Mount Gravatt QLD 4122, Australia	+61 7 3849 7035
ZCASE Australia	http://zcase.com.au/	kiosk a/50 Dorset Square, Boronia VIC 3155, Australia	+61 3 9762 6097
Mobile Magicians Australia	http://www.mobilemagiciansaustralia.com/	Shop/178 Main St, Lithgow NSW 2790, Australia	+61 498 226 544
Cheap Mobile Repair	https://www.cheapmobilerepair.com.au/	Station Arcade, Shop 5/52 - 54 Hindley St, Adelaide SA 5000, Australia	+61 8 7080 6100
Life Mobile AUS	http://www.lifemobile.com.au/	Leederville, 120 Oxford St, Perth WA 6007, Australia	+61 8 6114 7121
PHONE SCREENS iPhone, Samsung, iPad, Oppo, & Huawei Phone Repairs	http://www.phonescreens.com.au/	2482 Gold Coast Hwy, Mermaid Beach QLD 4218, Australia	+61 7 5575 2490
Sydney CBD Repair Centre	https://www.sydneycbd.repair/	Suite 201, Level 2/661 George St, Haymarket NSW 2000, Australia	+61 2 8011 4119
Fix A Phone	https://www.fixaphone.com.au/	246 Carlisle St, Balaclava VIC 3183, Australia	+61 3 8373 4748
REPAIR MATE | Melbourne CBD	http://www.repairmate.com.au/	307/365 Little Collins St, Melbourne VIC 3000, Australia	+61 3 9067 7551
Cheap Mobile Repair	https://www.cheapmobilerepair.com.au/	shop 1a/2 Enmore Rd, Newtown NSW 2042, Australia	+61 2 8970 0947
Happytel Auburn Repair Centre - Huawei Service Centre	http://www.happytel.com/	154-156 Adderley St W, Auburn NSW 2144, Australia	+61 2 8737 1100
Westcoast Phone Repairs Perth	https://westcoastrepairs.com.au/	325 Albany Hwy, Victoria Park WA 6100, Australia	+61 405 672 390
Vfix Mobile Australia	https://vfix-mobile-australia.business.site/	Galway Ave, North Plympton SA 5037, Australia	+61 460 504 188
FoneEZY	https://www.foneezy.com.au/?utm_source=google&utm_medium=organic&utm_campaign=GMB	B1/267 Murray St, Perth WA 6000, Australia	+61 1300 366 333
ZCASE Australia	http://zcase.com.au/	Tok H Centre, Shop 27 459 Toorak Road, Toorak VIC 3142, Australia	+61 3 9826 6113
Phone Repair Centre	http://www.phonerepaircentre.com.au/	122 Queen St, St Marys NSW 2760, Australia	+61 2 8678 3298
Joy Phone Australia	http://www.joyphoneau.com/	Shop k10/727 Tapleys Hill Rd, West Beach SA 5025, Australia	+61 430 598 119
Happytel	http://happytel.com/	Shop GD0K1, 300 Lonsdale St, Melbourne VIC 3000, Australia	+61 3 9654 1450
INFINITE Phone Repairs	http://www.infinitephonerepairs.com.au/	Shop 1/289 Flinders Ln, Melbourne VIC 3000, Australia	+61 450 088 588
Mobile Phone Care & Welcome Tech	http://www.mobilephonecare.com.au/	Suite 1/376 Victoria Ave, Chatswood NSW 2067, Australia	+61 2 8385 0391
Mobile Expert- iPhone, Samsung & iPad Repairs, Data Recovery	https://www.mobileexpert.com.au/	3 Fatima Pl, Calamvale QLD 4116, Australia	+61 405 492 202
Cityphones - Phone Repair & Accessories	http://www.cityphones.com.au/	148 Elizabeth St, Melbourne VIC 3000, Australia	+61 426 504 955
Happytel	http://au.happytel.com/	K207, Stacey St, Bankstown NSW 2200, Australia	+61 2 9708 1841
i-Station Mobile Device Repair Center Morley	http://i-station.com.au/	Shop 7/131 Crimea St, Morley WA 6062, Australia	+61 8 6114 3680
Joy Phone Australia	http://www.joyphoneau.com/	Shop 53 ,Mt Barker central shopping centre, 13 McLaren St, Mount Barker SA 5251, Australia	+61 430 598 119
Platinum Phone Services - iPhone Repairs Gold Coast	http://www.platinumphoneservices.com.au/	Shop 1A/126 Scarborough St, Southport QLD 4215, Australia	+61 411 118 453
Casphone Phone, Computer & IT Repairs	https://www.casphone.com.au/	148 Ipswich Rd, Woolloongabba QLD 4102, Australia	+61 7 3733 0960
Australia GSM World DALLAS	http://www.australiagsmworld.com.au/	22 Dargie Ct, Broadmeadows VIC 3047, Australia	+61 3 9309 7933
PhoneBeats - Phone Repairs	http://www.phonebeats.com.au/	231 Elizabeth St, Melbourne VIC 3000, Australia	+61 450 305 480
Jun's Repairs Phone n Laptop in Adelaide	http://twotwotwo.com.au/	222 Tapleys Hill Rd, Seaton SA 5023, Australia	+61 490 785 679
Phone Ninja	http://phone-repairs-perth.com.au/	u1/235 Main St, Osborne Park WA 6017, Australia	+61 8 9345 2118
Fone King Repair Centre HQ	http://foneking.com.au/location/headquarters/	707/2 Huntley St, Alexandria NSW 2015, Australia	+61 2 9698 8066
OnTheGo Phone & Computer Repairs Melbourne CBD Open As Usual	https://www.onthegorepairs.com.au/	190 Russell St, Melbourne VIC 3000, Australia	+61 3 9639 1111
Phone Ninja	http://phone-repairs-perth.com.au/	3/297 Great Eastern Hwy, Belmont WA 6104, Australia	+61 8 6248 6665
Mobile Experts Indooroopilly	http://www.mobile-experts.com.au/	322 Moggill Rd, Indooroopilly QLD 4068, Australia	+61 7 3878 9199
PT Mobiles Australia	http://www.ptmobiles.com.au/	Shop B15, Carnes Hill Market Place, 245 Cowpasture Rd, Horningsea Park NSW 2171, Australia	+61 2 9607 8522
REPAIR MATE | Carnegie Central	http://www.repairmate.com.au/	Kiosk 3 20/2 Koornang Rd, Carnegie VIC 3163, Australia	+61 3 9020 4573
Australia GSM World	http://www.australiagsmworld.com.au/	124/1239 Nepean Hwy, Cheltenham VIC 3192, Australia	+61 3 9585 8885
iWorkshop London Court.iPhone Repair Perth ,Phone repairs Perth ,Mac-book Repairs Perth ,Laptop Repairs Perth.	http://www.iworkshop.com.au/	LONDON COURT, Shop 12/647 Hay St, Perth WA 6000, Australia	+61 8 6161 7203
SP Mobile Sydney	http://spmobile.com.au/	Shop A/600 George St, Sydney NSW 2000, Australia	+61 466 910 238
