Title	WebSite	Address	Phone
Australia GSM World	http://www.australiagsmworld.com.au/	JB HIFI, Craigieburn Central, Shop E00-34 (Near TARGET and, 340 Craigieburn Rd, Craigieburn VIC 3064, Australia	+61 3 9308 4750
Mobile Plus@Southport	http://www.goldcoastphonerepairs.com.au/	Australia Fair Shopping Centre, Shop G/116, 42 Marine Parade, Southport QLD 4215, Australia	+61 7 5527 0873
Fone Fix Sydney	https://fonefix.com.au/	107/250 Pitt St, Sydney NSW 2000, Australia	+61 2 9261 2340
Fone Fix Bondi Junction	https://fonefix.com.au/location/bondijunction/	14/80 Spring St, Bondi Junction NSW 2022, Australia	+61 2 9386 1951
Aussie Mobile Phone Repairs Capalaba Central	http://aussiemobilephonerepairs.com.au/	Capalaba Central Shopping Centre Kiosk, 21 Moreton Bay Rd, Capalaba QLD 4157, Australia	+61 7 3245 4662
Fix My Mobile - Brisbane CBD	https://www.fixmymobile.com.au/	1B/144 Adelaide St, Brisbane City QLD 4000, Australia	+61 1300 349 349
Cheap Mobile Repair	https://www.cheapmobilerepair.com.au/	Shop 2/55 Burwood Rd, Burwood NSW 2134, Australia	+61 2 9747 8880
Aussie Mobile Phone Repairs Mount Gravatt	http://aussiemobilephonerepairs.com.au/	1484 Logan Rd, Mount Gravatt QLD 4122, Australia	+61 7 3849 7035
Cheap Mobile Repair	https://www.cheapmobilerepair.com.au/	Station Arcade, Shop 5/52 - 54 Hindley St, Adelaide SA 5000, Australia	+61 8 7080 6100
ZCASE Australia	http://zcase.com.au/	kiosk a/50 Dorset Square, Boronia VIC 3155, Australia	+61 3 9762 6097
Fix A Phone	https://www.fixaphone.com.au/	246 Carlisle St, Balaclava VIC 3183, Australia	+61 3 8373 4748
Sydney CBD Repair Centre	https://www.sydneycbd.repair/	Suite 201, Level 2/661 George St, Haymarket NSW 2000, Australia	+61 2 8011 4119
REPAIR MATE | Melbourne CBD	http://www.repairmate.com.au/	307/365 Little Collins St, Melbourne VIC 3000, Australia	+61 3 9067 7551
Cheap Mobile Repair	https://www.cheapmobilerepair.com.au/	shop 1a/2 Enmore Rd, Newtown NSW 2042, Australia	+61 2 8970 0947
FoneEZY	https://www.foneezy.com.au/?utm_source=google&utm_medium=organic&utm_campaign=GMB	B1/267 Murray St, Perth WA 6000, Australia	+61 1300 366 333
Cityphones - Phone Repair & Accessories	http://www.cityphones.com.au/	148 Elizabeth St, Melbourne VIC 3000, Australia	+61 426 504 955
Cityphones - Phone Repair & Accessories	http://www.cityphones.com.au/	148 Elizabeth St, Melbourne VIC 3000, Australia	+61 426 504 955
FoneEZY	https://www.foneezy.com.au/?utm_source=google&utm_medium=organic&utm_campaign=GMB	B1/267 Murray St, Perth WA 6000, Australia	+61 1300 366 333
OnTheGo Phone & Computer Repairs Melbourne CBD Open As Usual	https://www.onthegorepairs.com.au/	190 Russell St, Melbourne VIC 3000, Australia	+61 3 9639 1111
Digimob Mobile Phone Repairs - We fix phones	http://www.digimob.com.au/	22 Payneham Rd, Stepney SA 5069, Australia	+61 8 8232 9566
Happytel	http://happytel.com/	Shop GD0K1, 300 Lonsdale St, Melbourne VIC 3000, Australia	+61 3 9654 1450
Westcoast Phone Repairs Perth	https://westcoastrepairs.com.au/	325 Albany Hwy, Victoria Park WA 6100, Australia	+61 405 672 390
Jun's Repairs Phone n Laptop in Adelaide	http://twotwotwo.com.au/	222 Tapleys Hill Rd, Seaton SA 5023, Australia	+61 490 785 679
Happytel Auburn Repair Centre - Huawei Service Centre	http://www.happytel.com/	154-156 Adderley St W, Auburn NSW 2144, Australia	+61 2 8737 1100
Happytel	http://au.happytel.com/	K207, Stacey St, Bankstown NSW 2200, Australia	+61 2 9708 1841
Fix A Phone	https://www.fixaphone.com.au/	220 Glen Huntly Rd, Elsternwick VIC 3185, Australia	+61 3 9523 0666
Casphone Phone, Computer & IT Repairs	https://www.casphone.com.au/	148 Ipswich Rd, Woolloongabba QLD 4102, Australia	+61 7 3733 0960
GR Phones Plympton IPhone iPad Samsung Phone Repair	http://www.grphones.com.au/	3/285 Anzac Hwy, Plympton SA 5038, Australia	+61 8 8342 0008
Australia GSM World DALLAS	http://www.australiagsmworld.com.au/	22 Dargie Ct, Broadmeadows VIC 3047, Australia	+61 3 9309 7933
GR Phones Sefton Plaza IPhone iPad Tablet Samsung Repair	http://www.grphones.com.au/	Shop 22, Sefton Plaza Shopping Ctr, 239 Main N Rd, Sefton Park SA 5083, Australia	+61 8 8342 0008
MKC iPhone & iPad Repairs Melbourne	http://www.mkcrepairs.com.au/open-7-days/	447 Elizabeth St, Melbourne VIC 3000, Australia	+61 3 8399 1370
i-Station (Morley) - Mobile Phone/Tablet/Computer Repair Service Centre	http://i-station.com.au/	Shop 7/131 Crimea St, Morley WA 6062, Australia	+61 8 6114 3680
Phonebot can fix it	http://www.phonebot.com.au/	9 Grey St, St Kilda VIC 3182, Australia	+61 3 9534 2666
Cityphones - Phone Repair Swanston Street	http://www.cityphones.com.au/	160 Swanston St, Melbourne VIC 3000, Australia	+61 432 834 955
Phone Ninja	http://phone-repairs-perth.com.au/	u1/235 Main St, Osborne Park WA 6017, Australia	+61 8 9345 2118
PTC Phone Repair Grand Central	https://www.ptc.net.au/	Grand Central Shopping Centre, Shop K9, Toowoomba City QLD 4350, Australia	+61 7 3733 1599
Device Trader Phones & Computers	http://www.devicetrader.com.au/	1/130 Jonson St, Byron Bay NSW 2481, Australia	+61 2 6685 5585
OnTheGo Phone and Computer Repairs Glen Waverley OPEN As Usual	https://www.onthegorepairs.com.au/	235 Springvale Rd, Glen Waverley VIC 3150, Australia	+61 3 9886 8851
PTC Phone Repair Tweedcity	http://www.ptc.net.au/	54 Minjungbal Dr, Tweed Heads South NSW 2486, Australia	+61 7 5513 0360
PTC Phone Repair Robina	http://www.ptc.net.au/	Shop T2033B 1 Robina Town Centre Dr, Robina QLD 4230, Robina QLD 4230, Australia	+61 7 5580 9375
JS Tech Australia	http://www.jstech.com.au/	Address:, 9/17 Keppel Dr, Hallam VIC 3803, Australia	+61 3 9939 7625
MKC iPhone & iPad Repairs Melbourne	http://www.mkcrepairs.com.au/open-7-days/	447 Elizabeth St, Melbourne VIC 3000, Australia	+61 3 8399 1370
i-Station (Morley) - Mobile Phone/Tablet/Computer Repair Service Centre	http://i-station.com.au/	Shop 7/131 Crimea St, Morley WA 6062, Australia	+61 8 6114 3680
Phonebot can fix it	http://www.phonebot.com.au/	9 Grey St, St Kilda VIC 3182, Australia	+61 3 9534 2666
Cityphones - Phone Repair Swanston Street	http://www.cityphones.com.au/	160 Swanston St, Melbourne VIC 3000, Australia	+61 432 834 955
Phone Ninja	http://phone-repairs-perth.com.au/	u1/235 Main St, Osborne Park WA 6017, Australia	+61 8 9345 2118
PTC Phone Repair Grand Central	https://www.ptc.net.au/	Grand Central Shopping Centre, Shop K9, Toowoomba City QLD 4350, Australia	+61 7 3733 1599
PhoneBeats - Phone Repairs	http://www.phonebeats.com.au/	231 Elizabeth St, Melbourne VIC 3000, Australia	+61 450 305 480
Device Trader Phones & Computers	http://www.devicetrader.com.au/	1/130 Jonson St, Byron Bay NSW 2481, Australia	+61 2 6685 5585
